Chemical Name,Skin Type,Description
Capric triglyceride,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
Cetyl alcohol,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
Propanediol,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
Stearyl alcohol,Combination Skin,"An emollient and thickening agent that can hydrate dry skin, but may be comedogenic for oily skin types."
Glycerin,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
Sodium hyaluronate,Normal Skin,"A salt form of hyaluronic acid, it helps to hydrate and plump the skin. Suitable for dry and combination skin types."
Arginine,Dry Skin,"An amino acid with moisturizing properties, beneficial for dry skin."
Aspartic acid,Dry Skin,"An amino acid with hydrating properties, suitable for dry skin."
Glycine,Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
Alanine,Dry Skin,"An amino acid that helps to retain moisture in the skin, suitable for dry skin types."
Serine,Dry Skin,"An amino acid with humectant properties, suitable for dry skin."
Valine,Dry Skin,"An amino acid that helps to hydrate and nourish the skin, beneficial for dry skin types."
Isoleucine,Dry Skin,"An amino acid with moisturizing properties, suitable for dry skin."
Proline,Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin types."
Threonine,Dry Skin,"An amino acid with humectant properties, suitable for dry skin."
Histidine,Dry Skin,"An amino acid with hydrating properties, beneficial for dry skin."
Phenylalanine,Dry Skin,"An amino acid that helps to retain moisture in the skin, suitable for dry skin types."
Glucose,Dry Skin,"A natural sugar with moisturizing properties, beneficial for dry skin."
Maltose,Dry Skin,"A natural sugar that helps to hydrate and soften the skin, suitable for dry skin types."
Fructose,Dry Skin,"A natural sugar with humectant properties, suitable for dry skin."
Trehalose,Dry Skin,"A sugar molecule that helps to retain moisture in the skin, beneficial for dry skin types."
Sodium PCA,Normal Skin,"A natural humectant that helps to maintain skin hydration, suitable for dry and combination skin types."
PCA,Normal Skin,"A component of the skin's natural moisturizing factor, beneficial for dry and combination skin."
Sodium lactate,Normal Skin,A natural moisturizing agent that helps to hydrate and exfoliate the skin. Suitable for all skin types.
Urea,Dry Skin,"A humectant that helps to retain moisture in the skin, suitable for dry skin types."
Allantoin,Dry Skin,"A soothing and moisturizing ingredient, beneficial for dry skin."
Linoleic acid,Dry Skin,"An essential fatty acid that helps to maintain the skin's natural barrier, beneficial for dry skin."
Oleic acid,Dry Skin,"A fatty acid with emollient properties, suitable for dry skin."
Phytosteryl canola glycerides,Dry Skin,Plant-derived lipids that help to replenish and nourish dry skin.
Palmitic acid,Dry Skin,"A fatty acid with emollient properties, suitable for dry skin."
Lecithin,Dry Skin,A natural emollient that helps to hydrate and soften dry skin.
Triolein,Dry Skin,A triglyceride that helps to nourish and moisturize dry skin.
Tocopherol,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
Carbomer,Combination Skin,"A thickening agent used in skincare products, suitable for oily and combination skin types."
Isoceteth-20,Combination Skin,"An emulsifier and surfactant, suitable for oily and combination skin types."
Polysorbate 60,Combination Skin,"An emulsifier that helps to blend oil and water in skincare products, suitable for oily and combination skin types."
Sodium chloride,Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
Citric acid,Combination Skin,"An alpha hydroxy acid (AHA) that helps to exfoliate and brighten the skin, suitable for oily and combination skin types."
Trisodium ethylenediamine disuccinate,Combination Skin,"A chelating agent that helps to improve the stability of skincare formulations, suitable for oily and combination skin types."
